Country,Currency,Average,Ratio,Norm,Fee,in EUR,M30 fee,Data Points,,,,,,
Switzerland,CHF,"1,906",100.00%,1000,1000,824,1000,2250,2000,1750,1650,1880,,
Argentina,ARS,"4,235",222.18%,"2,222",2000,300,,4350,3990,4364,,,,
Australia,AUD,"1,732",90.88%,909,1000,798,1000,1800,1649,1680,1800,,,
Austria,EUR,"1,368",71.77%,718,800,800,800,1300,1490,1300,1450,1300,,
Belarus,EUR,943,49.45%,494,400,400,,1150,735,,,,,
Belgium,EUR,"1,392",73.03%,730,800,800,800,1249,1320,1300,1699,,,
Brazil,BRL,"1,838",96.41%,964,1000,386,1000,1650,2100,1650,1950,,,
Canada,CAD,"1,322",69.38%,694,600,454,800,1295,1400,1290,1311,1316,,
China,RMB,"6,925",363.33%,"3,633",4000,496,4000,6500,7000,7000,7200,,,
Colombia,COP,"2,171,520",113930.75%,"1,139,307",1000000,423,,2171520,,,,,,
Croatia,EUR,"1,100",57.71%,577,600,600,,1100,,,,,,
Czech Republic,CZK,"28,450",1492.65%,"14,927",15000,582,,29900,27000,,,,,
Denmark,DKK,"12,500",655.82%,"6,558",6000,804,6000,13500,12500,11500,12500,,,
Egypt,USD,"1,400",73.45%,735,800,616,,1400,,,,,,
Estonia,EUR,"1,375",72.14%,721,800,800,,1350,1400,,,,,
France,EUR,"1,427",74.85%,749,800,800,800,1590,1390,1300,,,,
Finland,EUR,"1,366",71.66%,717,800,800,800,1100,1400,1600,1195,1500,1400,
Germany,EUR,"1,398",73.36%,734,800,800,800,1400,1400,1400,1200,1490,1500,
Greece,EUR,"2,100",110.18%,"1,102",1000,1000,,2100,,,,,,
Hong Kong,USD,"1,399",73.40%,734,800,616,,1399,,,,,,
Hungary,EUR,"1,150",60.34%,603,600,600,,1150,,,,,,
Iceland,ISK,"175,000",9181.53%,"91,815",100000,632,,175000,,,,,,
India,INR,"28,230",1481.09%,"14,811",15000,210,,26300,27999,29500,28500,29550,27528,
Ireland,EUR,"1,027",53.86%,539,600,600,,975,1150,955,,,,
Israel,NIS,"4,150",217.73%,"2,177",2000,424,2000,3800,4500,,,,,
Italy,EUR,"1,200",62.96%,630,600,600,600,1200,,,,,,
Latvia,EUR,913,47.90%,479,400,400,,841,985,,,,,
Lithuania,LTL,"4,200",220.36%,"2,204",2000,580,,4200,,,,,,
Luxemburg,EUR,"1,481",77.72%,777,800,800,,1350,1395,1699,,,,
Malaysia,USD,999,52.41%,524,600,462,,999,,,,,,
Malta,EUR,"1,099",57.66%,577,600,600,,1099,,,,,,
Mexico,MXN,"12,845",673.92%,"6,739",6000,379,,"12,845",,,,,,
Netherlands,EUR,"1,520",79.77%,798,800,800,800,1695,1695,1445,1595,1300,1392,
New Zealand,NZD,"1,851",97.10%,971,1000,648,,"1,652",2000,1900,,,,
Norway,NOK,"13,550",710.91%,"7,109",8000,1072,,13900,11500,13900,14900,,,
Poland,PLN,"4,030",211.44%,"2,114",2000,480,2000,4000,3200,4000,4150,4800,,
Portugal,EUR,933,48.97%,490,400,400,600,1000,850,950,,,,
Romania,EUR,"1,087",57.01%,570,600,600,,973,1350,937,,,,
Russia,RUB,"38,000",1993.70%,"19,937",20000,480,,38000,,,,,,
Serbia,EUR,600,31.48%,315,300,300,,600,,,,,,
Singapore,USD,"1,299",68.15%,682,600,462,,1299,1299,,,,,
Slovakia,EUR,"1,100",57.71%,577,600,600,,1100,1100,,,,,
Slovenia,EUR,"1,199",62.91%,629,600,600,600,1199,,,,,,
South Africa,ZAR,"9,900",519.41%,"5,194",6000,507,6000,9900,,,,,,
Spain,EUR,950,49.84%,498,400,400,600,950,,,,,,
Sri Lanka,USD,500,26.23%,262,300,231,,500,,,,,,
Sweden,SEK,"16,050",842.06%,"8,421",8000,952,8000,15000,17000,16200,15999,,,
Turkey,USD,"1,472",77.23%,772,800,616,,1345,1599,,,,,
Ukraine,USD,966,50.70%,507,600,462,600,1050,899,950,,,,
United Arab Emirates,USD,"1,299",68.15%,682,600,462,,1299,,,,,,
United Kingdom,GBP,"1,011",53.07%,531,600,708,600,1295,950,995,900,995,1050,895
United States,USD,"1,273",66.81%,668,600,462,800,1195,1250,1275,1200,1295,1299,1400
Vietnam,VND,"13,333,333",699545.30%,"6,995,453",6000000,221,,"13,333,333",,,,,,